Time,"Idle","Exceptions","Event Recorder"
1.605351,,,0xf010,
1.605441,,,0xf00b,
1.605752,,,0xf00b,
1.615351,,,0xf010,
1.615441,,,0xf00b,
1.615752,,,0xf00b,
1.625351,,,0xf010,
1.625441,,,0xf00b,
1.625752,,,0xf00b,
1.635351,,,0xf010,
1.635441,,,0xf00b,
1.635752,,,0xf00b,
1.645351,,,0xf010,
1.645441,,,0xf00b,
1.645752,,,0xf00b,
1.655351,,,0xf010,
1.655441,,,0xf00b,
1.655752,,,0xf00b,
1.665351,,,0xf010,
1.665441,,,0xf00b,
1.665752,,,0xf00b,
1.675351,,,0xf010,
1.675441,,,0xf00b,
1.675752,,,0xf00b,
1.685351,,,0xf010,
1.685441,,,0xf00b,
1.685752,,,0xf00b,
1.695351,,,0xf010,
1.695441,,,0xf00b,
1.695752,,,0xf00b,
1.705351,,,0xf010,
1.705441,,,0xf00b,
1.705753,,,0xf00b,
1.715351,,,0xf010,
1.715441,,,0xf00b,
1.715753,,,0xf00b,
1.725350,,,0xf010,
1.725440,,,0xf00b,
1.725750,,,0xf00b,
1.735350,,,0xf010,
1.735440,,,0xf00b,
1.735751,,,0xf00b,
1.745350,,,0xf010,
1.745440,,,0xf00b,
1.745750,,,0xf00b,
1.755350,,,0xf010,
1.755440,,,0xf00b,
1.755751,,,0xf00b,
1.765350,,,0xf010,
1.765440,,,0xf00b,
1.765751,,,0xf00b,
1.775350,,,0xf010,
1.775440,,,0xf00b,
1.775751,,,0xf00b,
1.785350,,,0xf010,
1.785440,,,0xf00b,
1.785751,,,0xf00b,
1.795350,,,0xf010,
1.795440,,,0xf00b,
1.795751,,,0xf00b,
1.805350,,,0xf010,
1.805440,,,0xf00b,
1.805751,,,0xf00b,
1.815350,,,0xf010,
1.815440,,,0xf00b,
1.815751,,,0xf00b,
1.825350,,,0xf010,
1.825440,,,0xf00b,
1.825751,,,0xf00b,
1.835350,,,0xf010,
1.835440,,,0xf00b,
1.835751,,,0xf00b,
1.845350,,,0xf010,
1.845440,,,0xf00b,
1.845751,,,0xf00b,
1.855350,,,0xf010,
1.855440,,,0xf00b,
1.855751,,,0xf00b,
1.865350,,,0xf010,
1.865440,,,0xf00b,
1.865751,,,0xf00b,
1.875350,,,0xf010,
1.875440,,,0xf00b,
1.875751,,,0xf00b,
1.885350,,,0xf010,
1.885440,,,0xf00b,
1.885751,,,0xf00b,
1.895350,,,0xf010,
1.895440,,,0xf00b,
1.895751,,,0xf00b,
1.905350,,,0xf010,
1.905440,,,0xf00b,
1.905750,,,0xf00b,
1.915350,,,0xf010,
1.915440,,,0xf00b,
1.915751,,,0xf00b,
1.925350,,,0xf010,
1.925440,,,0xf00b,
1.925750,,,0xf00b,
1.935350,,,0xf010,
1.935440,,,0xf00b,
1.935751,,,0xf00b,
1.945350,,,0xf010,
1.945440,,,0xf00b,
1.945750,,,0xf00b,
1.955350,,,0xf010,
1.955440,,,0xf00b,
1.955751,,,0xf00b,
1.965350,,,0xf010,
1.965440,,,0xf00b,
1.965750,,,0xf00b,
1.975350,,,0xf010,
1.975440,,,0xf00b,
1.975751,,,0xf00b,
1.985350,,,0xf010,
1.985440,,,0xf00b,
1.985750,,,0xf00b,
1.995350,,,0xf010,
1.995440,,,0xf00b,
1.995755,,,0xf00b,
2.004350,,,0xf010,
2.004440,,,0xf00b,
2.004741,,,0xf00b,
2.005350,,,0xf010,
2.005485,,,0xf010,
2.005575,,,0xf00b,
2.005873,,,0xf00b,
2.006183,,,0xf00b,
2.015350,,,0xf010,
2.015440,,,0xf00b,
2.015751,,,0xf00b,
2.025350,,,0xf010,
2.025440,,,0xf00b,
2.025751,,,0xf00b,
2.035350,,,0xf010,
2.035440,,,0xf00b,
2.035751,,,0xf00b,
2.045350,,,0xf010,
2.045440,,,0xf00b,
2.045751,,,0xf00b,
2.055350,,,0xf010,
2.055440,,,0xf00b,
2.055751,,,0xf00b,
2.065350,,,0xf010,
2.065440,,,0xf00b,
2.065751,,,0xf00b,
2.075350,,,0xf010,
2.075440,,,0xf00b,
2.075751,,,0xf00b,
2.085350,,,0xf010,
2.085440,,,0xf00b,
2.085751,,,0xf00b,
2.095350,,,0xf010,
2.095440,,,0xf00b,
2.095751,,,0xf00b,
2.105350,,,0xf010,
2.105440,,,0xf00b,
2.105751,,,0xf00b,
2.115350,,,0xf010,
2.115440,,,0xf00b,
2.115751,,,0xf00b,
2.125350,,,0xf010,
2.125440,,,0xf00b,
2.125751,,,0xf00b,
2.135350,,,0xf010,
2.135440,,,0xf00b,
2.135751,,,0xf00b,
2.145350,,,0xf010,
2.145440,,,0xf00b,
2.145751,,,0xf00b,
2.155350,,,0xf010,
2.155440,,,0xf00b,
2.155751,,,0xf00b,
2.165350,,,0xf010,
2.165440,,,0xf00b,
2.165751,,,0xf00b,
2.175350,,,0xf010,
2.175440,,,0xf00b,
2.175751,,,0xf00b,
